major_name,median_earnings_1yr,median_earnings_5yr,median_growth,median_growth_pct,earnings_variation,school_count,earnings_rank,growth_rank,consistency_rank,low_earnings_flag,high_growth_flag
Economics.,51848,77589.5,28317,0.54292925309567,22034.5,348,79,39,252,FALSE,TRUE
"Education, General.",37370,47043,7407,0.18993845330478995,10797.5,67,249,265,117,TRUE,FALSE
"Education, Other.",36513,49435,7055.5,0.23298389604863756,11828,23,227,267,152,TRUE,FALSE
Educational Administration and Supervision.,37480,42810,5330,0.14220917822838847,4223,14,268,275,18,TRUE,FALSE
"Educational Assessment, Evaluation, and Research.",29771.5,44221,14449.5,0.5204781709562651,4355,2,260,212,19,TRUE,FALSE
Electrical Engineering Technologies/Technicians.,67395,85005,17610,0.26129534831960827,7938.25,52,53,162,61,FALSE,FALSE
"Electrical, Electronics and Communications Engineering.",77939,99319.5,21621.5,0.2728607329845635,10311,240,15,102,109,FALSE,FALSE
Electromechanical Engineering.,84375,96906,12531,0.14851555555555557,0,1,24,230,1,FALSE,FALSE
Electromechanical Instrumentation and Maintenance Technologies/Technicians.,62864,83399,20535,0.32665754644947825,0,17,55,115,1,FALSE,FALSE
Energy Systems Technologies/Technicians.,57378,72771,24599.5,0.4470969882465968,23667,5,95,72,256,FALSE,TRUE
Engineering Mechanics.,77173.5,94052.5,16879,0.21716755936118007,7572.5,2,28,172,55,FALSE,FALSE
Engineering Physics.,68379,91535.5,23670,0.32487853084081364,20494.75,6,37,78,245,FALSE,FALSE
Engineering Science.,79909,97604,27307,0.3450188595518083,13976.75,8,20,44,183,FALSE,TRUE
"Engineering Technologies/Technicians, Other.",66669,80920,15585,0.22068819031435857,13993,13,63,197,184,FALSE,FALSE
"Engineering Technology, General.",61424,80501.5,19975,0.3627122827042618,14409.5,30,70,124,191,FALSE,FALSE
"Engineering, General.",67911,89038,21480,0.3039326013564889,17495,49,43,106,227,FALSE,FALSE
"Engineering, Other.",72351,92501,19797.5,0.2699967854197822,7959.5,16,34,130,63,FALSE,FALSE
Engineering-Related Fields.,69042,90173,19297,0.2540522184344919,17480.25,22,40,134,226,FALSE,FALSE
"English Language and Literature, General.",29967,47271,16789,0.5977407620141681,10869,576,247,173,120,TRUE,FALSE
"English Language and Literature/Letters, Other.",37896,49037,12101.5,0.3854087504296442,9456.75,8,234,234,92,TRUE,FALSE
Entrepreneurial and Small Business Operations.,42955,54706,14474.5,0.4579300554910311,26612.25,54,183,211,262,FALSE,FALSE
Environmental Control Technologies/Technicians.,57601,87544,27079.5,0.4843993429682971,9445.5,3,45,50,91,FALSE,TRUE
Environmental Design.,40176.5,61629,24976.5,0.6226970363147875,7079,9,146,69,48,FALSE,TRUE
Environmental/Environmental Health Engineering.,63049,80713.5,16154,0.2377756189466867,8999.5,32,65,182,81,FALSE,FALSE
"Ethnic, Cultural Minority, Gender, and Group Studies.",31451,51370,21736,0.709380342941575,8409.5,76,210,100,70,FALSE,FALSE
Family and Consumer Economics and Related Studies.,40141,50122,13376,0.3363646472840086,15869,17,222,220,206,TRUE,FALSE
Family and Consumer Sciences/Human Sciences Business Services.,40256,63583,24586.5,0.5321052281231883,6491,8,137,73,39,FALSE,FALSE
"Family and Consumer Sciences/Human Sciences, General.",31910,43149,11730,0.3663869819476227,8090,49,266,240,66,TRUE,FALSE
Film/Video and Photographic Arts.,24648.5,41872,17603.5,0.7304687757205537,11750.5,139,272,163,149,TRUE,FALSE
Finance and Financial Management Services.,53853,77677,25552,0.4695290858725762,21809.5,404,78,61,250,FALSE,TRUE
Fine and Studio Arts.,24538,40813.5,15370,0.6447779111644658,9874.5,434,277,201,101,TRUE,FALSE
Fire Protection.,67101.5,80521,13080,0.2028965403711822,18671.75,16,69,222,231,FALSE,FALSE
Fishing and Fisheries Sciences and Management.,33314,49281,15098.5,0.45260418507565275,4420,9,230,204,22,TRUE,FALSE
Food Science and Technology.,51883,70437,17544,0.3776749061053367,11608.25,28,105,164,145,FALSE,FALSE
"Foods, Nutrition, and Related Services.",32586,55710,22054,0.6875532315453359,15590,57,171,95,205,FALSE,FALSE
"Foreign Languages, Literatures, and Linguistics, Other.",34944,50909,25166,0.741161578466411,9751.5,3,213,66,98,FALSE,TRUE
Forest Engineering.,51279,78198,26919,0.5249517346282104,0,2,75,52,1,FALSE,TRUE
Forestry.,43535,60155,16213,0.3518422878090316,10338,25,154,181,110,FALSE,FALSE
Funeral Service and Mortuary Science.,44957,54270,9756.5,0.19263445070552115,7363,5,186,252,51,FALSE,FALSE
